"Date","S191_NITRATE_NITRITE_N_Ld_mg","S191_PHOSPHATE_Ld_mg","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfs"
"1991-04-08",116055757.611441,137707951.195665,20208714.0119424,288695.91445632
"1991-04-09",112937841.735312,145849175.983333,27714807.7878067,346435.097347584
"1991-04-22",60297322.2824126,120036336.025173,22332341.5860787,279154.269825984
"1991-04-23",52526753.6899997,123101161.211948,24243117.0876922,269367.967641024
"1991-04-29",36035121.9054597,115789325.534455,23846771.8492013,264964.131657792
"1991-05-20",63015223.0567306,105843751.281435,2727931.7340576,272793.17340576
"1991-05-28",93498331.0751078,279945003.042529,16499705.4838426,549990.182794752
"1991-06-04",8626136.06093299,89089601.9407834,1414120.66572672,141412.066572672
"1991-06-10",18505408.1166501,95193073.9559883,12546039.4011187,156825.492513984
"1991-06-24",34055842.2885516,265118265.917205,64662991.6871232,431086.611247488
"1991-07-01",55830853.9651968,312652782.205102,50247768.5686771,558308.539651968
"1991-07-02",90871687.5686646,443213796.91509,128592010.710374,857280.071402496
"1991-07-08",39256283.2696393,161596070.171597,24199078.7278598,268878.652531776
"1991-07-16",96825673.8179943,280794454.072183,79738790.2030541,569562.787164672
"1991-07-23",128464299.466861,398170261.519598,117413607.039604,690668.276703552
