"date","station_id","parameter","unit","value"
2023-01-16,"L001","WNDS","MPH",4.2
2023-01-16,"L005","AIRT","Degrees Celsius",13.55
2023-01-16,"L005","BARO","mm Mercury",764.92
2023-01-16,"L005","HUMI","Percent",70.13
2023-01-16,"L005","WNDS","MPH",3.26
2023-01-16,"L006","AIRT","Degrees Celsius",14.45
2023-01-16,"L006","BARO","mm Mercury",764.13
2023-01-16,"L006","HUMI","Percent",65.52
2023-01-16,"L006","RADP","MICROMOLE/m^2/s",309.38
2023-01-16,"L006","RADT","kW/m^2",0.176
2023-01-16,"L006","WNDS","MPH",4.14
2023-01-16,"LZ40","AIRT","Degrees Celsius",14.51
2023-01-16,"LZ40","BARO","mm Mercury",762.79
2023-01-16,"LZ40","HUMI","Percent",61.82
2023-01-16,"LZ40","RADT","kW/m^2",0.173
2023-01-16,"LZ40","WNDD","DEGREES CLOCKWI",77.26
2023-01-16,"LZ40","WNDS","MPH",NA
2023-01-17,"L001","AIRT","Degrees Celsius",16.98
2023-01-17,"L001","BARO","mm Mercury",763.39
2023-01-17,"L001","HUMI","Percent",74.71
2023-01-17,"L001","WNDS","MPH",3.06
2023-01-17,"L005","AIRT","Degrees Celsius",17.01
2023-01-17,"L005","BARO","mm Mercury",763.38
2023-01-17,"L005","HUMI","Percent",75.27
2023-01-17,"L005","WNDS","MPH",2.48
2023-01-17,"L006","AIRT","Degrees Celsius",17.59
2023-01-17,"L006","BARO","mm Mercury",762.68
2023-01-17,"L006","HUMI","Percent",76.71
2023-01-17,"L006","RADP","MICROMOLE/m^2/s",315.4
2023-01-17,"L006","RADT","kW/m^2",0.175
2023-01-17,"L006","WNDS","MPH",2.91
2023-01-17,"LZ40","AIRT","Degrees Celsius",17.66
2023-01-17,"LZ40","BARO","mm Mercury",761.3
2023-01-17,"LZ40","HUMI","Percent",72
2023-01-17,"LZ40","RADT","kW/m^2",0.167
2023-01-17,"LZ40","WNDD","DEGREES CLOCKWI",189.43
2023-01-17,"LZ40","WNDS","MPH",NA
2023-01-18,"L001","AIRT","Degrees Celsius",19.39
2023-01-18,"L001","BARO","mm Mercury",763.88
2023-01-18,"L001","HUMI","Percent",80.57
2023-01-18,"L001","WNDS","MPH",3.61
2023-01-18,"L005","AIRT","Degrees Celsius",18.73
2023-01-18,"L005","BARO","mm Mercury",763.9
2023-01-18,"L005","HUMI","Percent",83.52
2023-01-18,"L005","WNDS","MPH",5.07
2023-01-18,"L006","AIRT","Degrees Celsius",18.47
2023-01-18,"L006","BARO","mm Mercury",763.18
2023-01-18,"L006","HUMI","Percent",88.94
2023-01-18,"L006","RADP","MICROMOLE/m^2/s",314.81
2023-01-18,"L006","RADT","kW/m^2",0.174
2023-01-18,"L006","WNDS","MPH",4.36
2023-01-18,"LZ40","AIRT","Degrees Celsius",18.68
2023-01-18,"LZ40","BARO","mm Mercury",761.83
2023-01-18,"LZ40","HUMI","Percent",83.27
2023-01-18,"LZ40","RADT","kW/m^2",0.165
2023-01-18,"LZ40","WNDD","DEGREES CLOCKWI",121.12
2023-01-18,"LZ40","WNDS","MPH",NA
2023-01-19,"L001","AIRT","Degrees Celsius",19.45
2023-01-19,"L001","BARO","mm Mercury",764.07
2023-01-19,"L001","HUMI","Percent",85.97
2023-01-19,"L001","WNDS","MPH",6.64
2023-01-19,"L005","AIRT","Degrees Celsius",20.36
2023-01-19,"L005","BARO","mm Mercury",764.23
2023-01-19,"L005","HUMI","Percent",81.01
2023-01-19,"L005","WNDS","MPH",4.75
2023-01-19,"L006","AIRT","Degrees Celsius",20.21
2023-01-19,"L006","BARO","mm Mercury",763.53
2023-01-19,"L006","HUMI","Percent",87.43
2023-01-19,"L006","RADP","MICROMOLE/m^2/s",304.25
2023-01-19,"L006","RADT","kW/m^2",0.165
2023-01-19,"L006","WNDS","MPH",5.67
2023-01-19,"LZ40","AIRT","Degrees Celsius",19.73
2023-01-19,"LZ40","BARO","mm Mercury",762.15
2023-01-19,"LZ40","HUMI","Percent",84.06
2023-01-19,"LZ40","RADT","kW/m^2",0.158
2023-01-19,"LZ40","WNDD","DEGREES CLOCKWI",170.72
2023-01-19,"LZ40","WNDS","MPH",NA
2023-01-20,"L001","AIRT","Degrees Celsius",20.16
2023-01-20,"L001","BARO","mm Mercury",764.39
2023-01-20,"L001","HUMI","Percent",90.59
2023-01-20,"L001","WNDS","MPH",4.66
2023-01-20,"L005","AIRT","Degrees Celsius",20.3
2023-01-20,"L005","BARO","mm Mercury",764.69
2023-01-20,"L005","HUMI","Percent",89.84
2023-01-20,"L005","WNDS","MPH",3.7
2023-01-20,"L006","AIRT","Degrees Celsius",20.09
2023-01-20,"L006","BARO","mm Mercury",763.88
2023-01-20,"L006","HUMI","Percent",95.69
2023-01-20,"L006","RADP","MICROMOLE/m^2/s",190.44
2023-01-20,"L006","RADT","kW/m^2",0.099
2023-01-20,"L006","WNDS","MPH",2.83
2023-01-20,"LZ40","AIRT","Degrees Celsius",19.99
2023-01-20,"LZ40","BARO","mm Mercury",762.5
2023-01-20,"LZ40","HUMI","Percent",91.79
2023-01-20,"LZ40","RADT","kW/m^2",0.101
2023-01-20,"LZ40","WNDD","DEGREES CLOCKWI",174.39
2023-01-20,"LZ40","WNDS","MPH",NA
