"Date","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfd"
"1988-02-23",16514384.93712,183493.165968
"1988-03-03",1737068.6378304,173706.86378304
"1988-03-07",660575.3974848,132115.07949696
"1988-03-11",14385864.2118912,205512.34588416
"1988-03-14",3718794.8302848,185939.74151424
"1988-03-16",38655893.630592,193279.46815296
"1988-03-18",2299781.0134656,229978.10134656
"1988-03-19",39879181.403712,797583.62807424
"1988-03-20",33322358.9397888,1110745.29799296
"1988-03-21",21285207.252288,709506.9084096
"1988-03-28",10397946.07152,207958.9214304
"1988-04-04",18031261.7757888,163920.56159808
"1988-04-30",8367288.3681408,139454.80613568
"1988-05-05",7376425.2719136,163920.56159808
"1988-05-17",4036849.651296,134561.6550432
"1988-05-18",978630.218496,97863.0218496
"1988-06-07",24596239.4915328,127221.92840448
"1988-06-10",10569206.3597568,88076.71966464
"1988-06-21",599411.0088288,119882.20176576
"1988-06-30",11229781.7572416,132115.07949696
"1988-07-01",14532658.7446656,132115.07949696
"1988-07-02",16440987.6707328,117435.62621952
"1988-07-06",10365325.0642368,100309.59739584
"1988-07-29",16392056.159808,327841.12319616
"1988-07-30",16636713.714432,665468.54857728
"1988-08-01",46582798.4004096,582284.98000512
"1988-08-02",24184399.2745824,1612293.28497216
"1988-08-03",37677263.412096,1507090.53648384
"1988-08-08",21236275.7413632,530906.89353408
"1988-08-09",60014498.1492672,545586.34681152
"1988-08-10",110340557.135424,1103405.57135424
"1988-08-11",123185078.753184,2463701.57506368
"1988-08-16",345260741.085389,1233074.07530496
"1988-08-17",202123838.752618,985969.94513472
"1988-08-19",183615494.745312,966397.3407648
"1988-08-21",279496790.402458,1164569.96001024
"1988-08-22",310617231.35063,1350509.70152448
"1988-08-23",282579475.59072,1130317.90236288
"1988-08-25",38460167.5868928,1282005.58622976
"1988-08-27",279496790.402458,873427.47000768
"1988-08-28",171749603.346048,636109.6420224
"1988-08-30",124041380.194368,413471.26731456
"1988-09-03",34252057.64736,428150.720592
